Vivado Simulator 2019.1
Time resolution is 1 ps
Time |     a      b   | gt eq lt
                   0 |   0     0   |  0  1  0
               10000 |   5    10   |  0  0  1
               20000 |  10     5   |  1  0  0
               30000 |  25    25   |  0  1  0
               40000 | 255   100   |  1  0  0
               50000 | 100   255   |  0  0  1
               60000 | 128   128   |  0  1  0
               70000 |  36   129   |  0  0  1
               80000 |   9    99   |  0  0  1
               90000 |  13   141   |  0  0  1
              100000 | 101    18   |  1  0  0
              110000 |   1    13   |  0  0  1
              120000 | 118    61   |  1  0  0
              130000 | 237   140   |  1  0  0
              140000 | 249   198   |  1  0  0
              150000 | 197   170   |  1  0  0
              160000 | 229   119   |  1  0  0
$stop called at time : 170 ns : File "/home/salamat/comparator_B_22_R_19/comparator_B_22_R_19.srcs/sim_1/new/comparator_8_biit_tb.v" Line 40
